order_id,customer_id,order_date,status,channel,payment_method
1,3691.0,11.08.2025,completed,paid_search,paypal
2,8380.0,09/09/2024,completed,referral,debit_card
3,913.0,14/11/2024,completed,email,debit_card
4,4372.0,09-03-2025,returned,referral,paypal
5,6037.0,28/06/2025,completed,email,paypal
6,5610.0,11-03-2025,completed,email,paypal
7,2488.0,07-03-2025,cancelled,paid_search,paypal
8,5203.0,2025-05-02T02:50:44,completed,paid_search,bank_transfer
9,6552.0,22/04/2024,completed,paid_search,credit_card
10,5374.0,07/12/2024,completed,paid_search,paypal
11,6345.0,10-03-2024,completed,direct,debit_card
12,2408.0,14.09.2024,completed,paid_search,paypal
13,7707.0,12-22-2025,completed,referral,debit_card
14,4153.0,2024-12-19T00:08:55,completed,paid_search,paypal
15,9104.0,2025-11-21,completed,direct,debit_card
16,237.0,06-15-2025,cancelled,direct,debit_card
17,3509.0,2025-10-03T12:21:33,completed,referral,debit_card
18,1708.0,15/03/2025,cancelled,organic_search,paypal
19,5130.0,05-08-2025,completed,referral,debit_card
20,2291.0,2025-03-08T23:36:57,completed,referral,paypal
21,6822.0,08-01-2024,cancelled,referral,credit_card
22,8157.0,2025-08-18,RETURNED,direct,debit_card
23,1994.0,2024-10-15T18:04:54,completed,referral,debit_card
24,1526.0,02-03-2024,completed,social_media,bank_transfer
25,8095.0,25.06.2025,completed,paid_search,paypal
26,3330.0,07-14-2024,completed,paid_search,credit_card
27,4009.0,12-10-2025,cancelled,direct,paypal
28,2075.0,2025-12-15T01:13:23,cancelled,direct,paypal
29,3924.0,2025-11-30T10:01:31,completed,email,debit_card
30,2177.0,08/12/2024,completed,organic_search,debit_card
31,6166.0,22.01.2024,completed,organic_search,paypal
32,4607.0,2025-12-05T10:53:23,completed,referral,debit_card
33,7292.0,10.01.2025,completed,social_media,paypal
34,2897.0,2025-12-19,completed,organic_search,debit_card
35,4677.0,12-18-2025,completed,social_media,credit_card
36,2438.0,2025-11-04T12:45:38,completed,paid_search,debit_card
37,8619.0,2024-10-26,completed,paid_search,debit_card
38,4827.0,15.12.2024,completed,direct,credit_card
39,1647.0,04.11.2025,completed,organic_search,credit_card
40,2558.0,09.11.2024,completed,direct,debit_card
41,809.0,06/07/2024,completed,paid_search,paypal
42,282.0,04-24-2025,completed,social_media,paypal
43,4870.0,08/12/2025,completed,social_media,paypal
44,3113.0,2025-07-31T18:59:08,completed,email,bank_transfer
